Date,Close,Volume,Bullish_sentiment,Neutral_sentiment,Bearish_sentiment,Mov Avg_sentiment,Spread_sentiment,Average_sentiment,Close_sentiment
2000-01-06,1403.449951171875,1092300000,0.75,0.1166,0.1333,0.5825,0.6167,0.3761076426708409,1441.47
2000-01-13,1449.6800537109375,1030400000,0.5926,0.2222,0.1852,0.599075,0.4074,0.3761076426708409,1465.15
2000-01-20,1445.5699462890625,1100700000,0.5714,0.25,0.1786,0.6017499999999999,0.3928,0.3761076426708409,1441.36
2000-01-27,1398.56005859375,1129500000,0.537,0.2593,0.2037,0.591375,0.3333,0.3761076426708409,1360.16
2000-02-03,1424.969970703125,1146500000,0.5111,0.2444,0.2444,0.5777625000000001,0.2667,0.3761076426708409,1424.37
2000-02-10,1416.8299560546875,1058800000,0.4186,0.3023,0.2791,0.5625875,0.1395,0.3761076426708409,1387.12
2000-02-17,1388.260009765625,1034800000,0.2727,0.4848,0.2424,0.531675,0.0302999999999999,0.3761076426708409,1346.09
2000-02-24,1353.4300537109375,1215000000,0.4138,0.2759,0.3103,0.5084,0.1034999999999999,0.3761076426708409,1333.36
2000-03-02,1381.760009765625,1198600000,0.3667,0.4,0.2333,0.4604875,0.1334,0.3761076426708409,1409.17
2000-03-08,1366.699951171875,1203000000,0.5833,0.25,0.1667,0.459325,0.4166000000000001,0.3761076426708409,1395.07
2000-03-16,1458.469970703125,1482300000,0.5,0.2333,0.2667,0.4503999999999999,0.2333,0.3761076426708409,1464.47
2000-03-23,1527.3499755859375,1078300000,0.6571,0.1429,0.2,0.4654125,0.4571,0.3761076426708409,1527.46
2000-03-30,1487.9200439453125,1193400000,0.3889,0.1111,0.5,0.4501375,-0.1110999999999999,0.3761076426708409,1498.58
2000-04-06,1501.3399658203125,1008000000,0.4583,0.3333,0.2083,0.4550999999999999,0.2499999999999999,0.3761076426708409,1516.35
2000-04-13,1440.510009765625,1032000000,0.5185,0.1852,0.2963,0.485825,0.2221999999999999,0.3761076426708409,1356.56
2000-04-20,1434.5400390625,896200000,0.6373,0.1373,0.2255,0.5137625,0.4117999999999999,0.3761076426708409,1434.54
2000-04-27,1464.9200439453125,1111000000,0.6129,0.2419,0.1452,0.5445374999999999,0.4677,0.3761076426708409,1452.43
2000-05-04,1409.5699462890625,925800000,0.3478,0.3043,0.3478,0.5151,0.0,0.3761076426708409,1432.63
