Date,Bullish,Neutral,Bearish,Total,Mov Avg,Spread,Average,+St. Dev.,- St. Dev.,High,Low,Close
2000-01-06,0.75,0.1166,0.1333,0.9999,0.5825,0.6167,0.3761076426708409,0.4773140559726221,0.2749012293690596,1478.0,1377.68,1441.47
2000-01-13,0.5926,0.2222,0.1852,1.0,0.599075,0.4074,0.3761076426708409,0.4773140559726221,0.2749012293690596,1473.0,1427.08,1465.15
2000-01-20,0.5714,0.25,0.1786,1.0,0.6017499999999999,0.3928,0.3761076426708409,0.4773140559726221,0.2749012293690596,1465.71,1438.54,1441.36
2000-01-27,0.537,0.2593,0.2037,1.0,0.591375,0.3333,0.3761076426708409,0.4773140559726221,0.2749012293690596,1454.09,1356.2,1360.16
2000-02-03,0.5111,0.2444,0.2444,0.9999,0.5777625000000001,0.2667,0.3761076426708409,0.4773140559726221,0.2749012293690596,1435.91,1350.14,1424.37
2000-02-10,0.4186,0.3023,0.2791,1.0,0.5625875,0.1395,0.3761076426708409,0.4773140559726221,0.2749012293690596,1444.55,1378.89,1387.12
2000-02-17,0.2727,0.4848,0.2424,0.9999,0.531675,0.0302999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1407.72,1345.32,1346.09
2000-02-24,0.4138,0.2759,0.3103,1.0,0.5084,0.1034999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1370.11,1329.15,1333.36
2000-03-02,0.3667,0.4,0.2333,1.0,0.4604875,0.1334,0.3761076426708409,0.4773140559726221,0.2749012293690596,1410.88,1325.07,1409.17
2000-03-08,0.5833,0.25,0.1667,1.0,0.459325,0.4166000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596,1413.46,1346.62,1395.07
2000-03-16,0.5,0.2333,0.2667,1.0,0.4503999999999999,0.2333,0.3761076426708409,0.4773140559726221,0.2749012293690596,1477.33,1356.99,1464.47
2000-03-23,0.6571,0.1429,0.2,1.0,0.4654125,0.4571,0.3761076426708409,0.4773140559726221,0.2749012293690596,1552.87,1446.06,1527.46
2000-03-30,0.3889,0.1111,0.5,1.0,0.4501375,-0.1110999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1534.63,1474.63,1498.58
2000-04-06,0.4583,0.3333,0.2083,0.9999,0.4550999999999999,0.2499999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1526.45,1416.41,1516.35
2000-04-13,0.5185,0.1852,0.2963,1.0,0.485825,0.2221999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1527.19,1339.4,1356.56
2000-04-20,0.6373,0.1373,0.2255,1.0001,0.5137625,0.4117999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1447.69,1346.5,1434.54
2000-04-27,0.6129,0.2419,0.1452,1.0,0.5445374999999999,0.4677,0.3761076426708409,0.4773140559726221,0.2749012293690596,1482.94,1407.13,1452.43
2000-05-04,0.3478,0.3043,0.3478,0.9999,0.5151,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,1481.51,1398.36,1432.63
2000-05-11,0.3023,0.4419,0.2558,1.0,0.4903875,0.0464999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1432.63,1375.14,1420.96
2000-05-18,0.3529,0.2353,0.4118,1.0,0.4523625,-0.0589,0.3761076426708409,0.4773140559726221,0.2749012293690596,1470.4,1401.74,1406.95
2000-05-25,0.3492,0.2857,0.3651,1.0,0.4473999999999999,-0.0158999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1411.65,1361.09,1378.02
2000-06-01,0.4167,0.2083,0.375,1.0,0.4422,0.0417,0.3761076426708409,0.4773140559726221,0.2749012293690596,1483.23,1378.02,1477.26
2000-06-08,0.6154,0.1538,0.2308,1.0,0.4543125,0.3845999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1477.28,1454.74,1456.95
2000-06-15,0.4375,0.375,0.1875,1.0,0.4293374999999999,0.25,0.3761076426708409,0.4773140559726221,0.2749012293690596,1483.62,1442.38,1464.46
2000-06-22,0.2667,0.3333,0.4,1.0,0.3860625,-0.1333,0.3761076426708409,0.4773140559726221,0.2749012293690596,1488.93,1438.31,1441.48
2000-07-06,0.561,0.2805,0.1585,1.0000000000000002,0.4127125,0.4025000000000001,0.3761076426708409,0.4773140559726221,0.2749012293690596,1467.63,1434.63,1454.6
2000-07-13,0.65,0.15,0.2,1.0,0.456175,0.45,0.3761076426708409,0.4773140559726221,0.2749012293690596,1484.12,1439.56,1478.9
2000-07-20,0.6667,0.2133,0.12,1.0,0.4954,0.5467,0.3761076426708409,0.4773140559726221,0.2749012293690596,1509.99,1470.48,1509.98
2000-07-27,0.4286,0.3714,0.2,1.0,0.505325,0.2285999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1517.32,1477.91,1480.19
2000-08-03,0.413,0.3478,0.2391,0.9999,0.5048625,0.1738999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1485.88,1413.89,1419.89
2000-08-10,0.541,0.3443,0.1148,1.0001,0.4955624999999999,0.4262,0.3761076426708409,0.4773140559726221,0.2749012293690596,1462.93,1418.71,1462.93
2000-08-17,0.5938,0.2188,0.1875,1.0001,0.5151,0.4063,0.3761076426708409,0.4773140559726221,0.2749012293690596,1490.33,1453.06,1471.84
2000-08-23,0.5769,0.1923,0.2308,1.0,0.5538749999999999,0.3460999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1499.47,1468.56,1491.72
2000-08-31,0.5588,0.2647,0.1765,1.0,0.5535999999999999,0.3823,0.3761076426708409,0.4773140559726221,0.2749012293690596,1513.47,1489.52,1506.45
2000-09-07,0.625,0.2917,0.0833,1.0,0.5504749999999999,0.5417,0.3761076426708409,0.4773140559726221,0.2749012293690596,1530.09,1500.09,1520.77
2000-09-14,0.4118,0.3529,0.2353,1.0,0.5186125,0.1765,0.3761076426708409,0.4773140559726221,0.2749012293690596,1520.77,1489.88,1494.5
2000-09-21,0.4375,0.375,0.1875,1.0,0.519725,0.25,0.3761076426708409,0.4773140559726221,0.2749012293690596,1506.76,1460.22,1465.81
2000-09-28,0.5333,0.4,0.0667,1.0,0.5347625,0.4666,0.3761076426708409,0.4773140559726221,0.2749012293690596,1467.77,1421.88,1448.72
2000-10-05,0.4194,0.3226,0.2581,1.0001,0.5195624999999999,0.1613,0.3761076426708409,0.4773140559726221,0.2749012293690596,1461.69,1419.44,1436.51
2000-10-12,0.4146,0.2683,0.3171,1.0,0.4971625,0.0975,0.3761076426708409,0.4773140559726221,0.2749012293690596,1454.82,1397.06,1408.99
2000-10-19,0.4889,0.2667,0.2444,1.0,0.4861625,0.2445,0.3761076426708409,0.4773140559726221,0.2749012293690596,1409.69,1327.08,1374.17
2000-10-26,0.641,0.1795,0.1795,1.0,0.4964375,0.4615,0.3761076426708409,0.4773140559726221,0.2749012293690596,1408.47,1305.79,1396.93
2000-11-02,0.5161,0.2581,0.2258,1.0,0.482825,0.2903,0.3761076426708409,0.4773140559726221,0.2749012293690596,1415.64,1337.81,1379.58
2000-11-09,0.6286,0.2857,0.0857,1.0,0.509925,0.5429,0.3761076426708409,0.4773140559726221,0.2749012293690596,1433.4,1376.86,1426.69
2000-11-16,0.4583,0.375,0.1667,1.0,0.512525,0.2915999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1438.46,1365.97,1365.98
2000-11-23,0.3651,0.2698,0.3651,1.0,0.4915,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,1395.96,1328.62,1367.72
2000-11-30,0.6042,0.2292,0.1667,1.0001,0.5146,0.4375,0.3761076426708409,0.4773140559726221,0.2749012293690596,1367.72,1321.89,1341.77
2000-12-07,0.4706,0.1569,0.3725,1.0,0.5216000000000001,0.0981,0.3761076426708409,0.4773140559726221,0.2749012293690596,1362.5,1294.9,1315.23
2000-12-14,0.5962,0.0769,0.3269,1.0,0.5350125,0.2692999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1380.33,1310.23,1369.89
2000-12-21,0.3111,0.1778,0.5111,1.0,0.493775,-0.2,0.3761076426708409,0.4773140559726221,0.2749012293690596,1389.05,1305.38,1312.15
2000-12-28,0.4,0.28,0.32,1.0,0.4792625,0.08,0.3761076426708409,0.4773140559726221,0.2749012293690596,1346.44,1254.07,1305.95
2001-01-04,0.4259,0.3333,0.2407,0.9999,0.453925,0.1852,0.3761076426708409,0.4773140559726221,0.2749012293690596,1340.1,1301.64,1320.28
2001-01-11,0.3571,0.2143,0.4286,1.0,0.441275,-0.0715,0.3761076426708409,0.4773140559726221,0.2749012293690596,1350.24,1274.62,1298.35
2001-01-18,0.3659,0.3902,0.2439,1.0,0.4413749999999999,0.122,0.3761076426708409,0.4773140559726221,0.2749012293690596,1333.21,1276.29,1318.55
2001-01-25,0.4923,0.2462,0.2615,1.0,0.4273875,0.2308,0.3761076426708409,0.4773140559726221,0.2749012293690596,1354.55,1313.33,1342.54
2001-02-01,0.5,0.3077,0.1923,1.0,0.4310625,0.3077,0.3761076426708409,0.4773140559726221,0.2749012293690596,1369.75,1333.84,1354.95
2001-02-08,0.5556,0.3,0.1444,1.0,0.4259875,0.4112,0.3761076426708409,0.4773140559726221,0.2749012293690596,1383.37,1348.72,1349.47
2001-02-15,0.3043,0.4783,0.2174,1.0,0.4251375,0.0869,0.3761076426708409,0.4773140559726221,0.2749012293690596,1363.55,1309.98,1314.76
2001-02-22,0.2632,0.3509,0.386,1.0001,0.4080374999999999,-0.1228,0.3761076426708409,0.4773140559726221,0.2749012293690596,1336.62,1293.18,1301.53
2001-03-01,0.4595,0.2027,0.3378,1.0,0.4122375,0.1217,0.3761076426708409,0.4773140559726221,0.2749012293690596,1272.76,1214.5,1234.18
2001-03-08,0.3163,0.3673,0.3163,0.9999,0.4071375,0.0,0.3761076426708409,0.4773140559726221,0.2749012293690596,1267.42,1228.42,1233.42
2001-03-15,0.3091,0.3273,0.3636,1.0,0.4000374999999999,-0.0544999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1233.42,1148.64,1150.53
2001-03-22,0.2778,0.25,0.4722,1.0,0.373225,-0.1944,0.3761076426708409,0.4773140559726221,0.2749012293690596,1180.56,1081.19,1139.83
2001-03-29,0.3725,0.3529,0.2745,0.9999,0.3572875,0.0979999999999999,0.3761076426708409,0.4773140559726221,0.2749012293690596,1183.35,1136.26,1160.33
2001-04-05,0.3514,0.2613,0.3874,1.0001,0.3317625,-0.036,0.3761076426708409,0.4773140559726221,0.2749012293690596,1169.51,1091.99,1128.43
2001-04-12,0.303,0.2879,0.4091,1.0,0.3316,-0.1061,0.3761076426708409,0.4773140559726221,0.2749012293690596,1183.51,1126.38,1183.5
2001-04-19,0.4375,0.25,0.3125,1.0,0.3533875,0.125,0.3761076426708409,0.4773140559726221,0.2749012293690596,1253.71,1167.38,1242.98
2001-04-26,0.4655,0.2241,0.3103,0.9999,0.3541375,0.1552,0.3761076426708409,0.4773140559726221,0.2749012293690596,1253.07,1207.38,1253.05
2001-05-03,0.6351,0.1487,0.2162,1.0,0.3939875,0.4189,0.3761076426708409,0.4773140559726221,0.2749012293690596,1272.93,1232.0,1266.61
